#,"Date Time, GMT-05:00",DO_concentration,"Temp, °C (LGR S/N: 20880670, SEN S/N: 20880670)","DO Adj Conc, mg/L (LGR S/N: 20880670)","DO Percent Sat, % (LGR S/N: 20880670)","Abs Pres, kPa (LGR S/N: 21132118, SEN S/N: 21132118)"
401,2/13/2022 20:00,,,,,101.543
402,2/13/2022 20:15,,,,,101.568
403,2/13/2022 20:30,,,,,101.601
404,2/13/2022 20:45,,,,,101.609
405,2/13/2022 21:00,,,,,101.62
406,2/13/2022 21:15,,,,,101.649
407,2/13/2022 21:30,,,,,101.671
408,2/13/2022 21:45,,,,,101.677
409,2/13/2022 22:00,,,,,101.754
410,2/13/2022 22:15,,,,,101.732
411,2/13/2022 22:30,,,,,101.773
412,2/13/2022 22:45,,,,,101.747
413,2/13/2022 23:00,,,,,101.749
414,2/13/2022 23:15,,,,,101.754
415,2/13/2022 23:30,,,,,101.773
416,2/13/2022 23:45,,,,,101.759
417,2/14/2022 0:00,,,,,101.77
418,2/14/2022 0:15,,,,,101.777
419,2/14/2022 0:30,,,,,101.813
420,2/14/2022 0:45,,,,,101.829
421,2/14/2022 1:00,,,,,101.818
422,2/14/2022 1:15,,,,,101.826
423,2/14/2022 1:30,,,,,101.798
424,2/14/2022 1:45,,,,,101.797
425,2/14/2022 2:00,,,,,101.841
426,2/14/2022 2:15,,,,,101.845
427,2/14/2022 2:30,,,,,101.859
428,2/14/2022 2:45,,,,,101.862
429,2/14/2022 3:00,,,,,101.864
430,2/14/2022 3:15,,,,,101.886
431,2/14/2022 3:30,,,,,101.889
432,2/14/2022 3:45,,,,,101.891
433,2/14/2022 4:00,,,,,101.917
434,2/14/2022 4:15,,,,,101.919
435,2/14/2022 4:30,,,,,101.908
436,2/14/2022 4:45,,,,,101.91
437,2/14/2022 5:00,,,,,101.934
438,2/14/2022 5:15,,,,,101.923
439,2/14/2022 5:30,,,,,101.967
440,2/14/2022 5:45,,,,,101.958
441,2/14/2022 6:00,,,,,101.991
442,2/14/2022 6:15,,,,,102.013
443,2/14/2022 6:30,,,,,102.068
444,2/14/2022 6:45,,,,,102.099
445,2/14/2022 7:00,,,,,102.154
446,2/14/2022 7:15,,,,,102.161
447,2/14/2022 7:30,,,,,102.18
448,2/14/2022 7:45,,,,,102.199
449,2/14/2022 8:00,,,,,102.177
450,2/14/2022 8:15,,,,,102.109
451,2/14/2022 8:30,,,,,102.071
452,2/14/2022 8:45,,,,,102.299
453,2/14/2022 9:00,,,,,102.425
454,2/14/2022 9:15,,,,,102.472
455,2/14/2022 9:30,,,,,102.503
456,2/14/2022 9:45,,,,,102.505
457,2/14/2022 10:00,,,,,102.521
458,2/14/2022 10:15,,,,,102.554
459,2/14/2022 10:30,,,,,102.523
460,2/14/2022 10:45,,,,,102.538
461,2/14/2022 11:00,,,,,102.488
462,2/14/2022 11:15,,,,,102.549
463,2/14/2022 11:30,,,,,102.499
464,2/14/2022 11:45,,,,,102.523
465,2/14/2022 12:00,,,,,102.517
466,2/14/2022 12:15,,,,,102.475
467,2/14/2022 12:30,,,,,102.463
468,2/14/2022 12:45,,,,,102.468
469,2/14/2022 13:00,,,,,102.42
470,2/14/2022 13:15,,,,,102.453
471,2/14/2022 13:30,,,,,102.461
472,2/14/2022 13:45,,,,,102.423
473,2/14/2022 14:00,,,,,102.393
474,2/14/2022 14:15,,,,,102.379
475,2/14/2022 14:30,,,,,102.409
476,2/14/2022 14:45,,,,,102.36
477,2/14/2022 15:00,,,,,102.351
478,2/14/2022 15:15,,,,,102.357
479,2/14/2022 15:30,,,,,102.244
480,2/14/2022 15:45,,,,,102.204
481,2/14/2022 16:00,,,,,102.168
482,2/14/2022 16:15,,,,,102.199
483,2/14/2022 16:30,,,,,102.225
484,2/14/2022 16:45,,,,,102.255
485,2/14/2022 17:00,,,,,102.28
486,2/14/2022 17:15,,,,,102.269
487,2/14/2022 17:30,,,,,102.272
488,2/14/2022 17:45,,,,,102.308
489,2/14/2022 18:00,,,,,102.337
490,2/14/2022 18:15,,,,,102.348
491,2/14/2022 18:30,,,,,102.397
492,2/14/2022 18:45,,,,,102.416
493,2/14/2022 19:00,,,,,102.428
494,2/14/2022 19:15,,,,,102.479
495,2/14/2022 19:30,,,,,102.481
496,2/14/2022 19:45,,,,,102.542
497,2/14/2022 20:00,,,,,102.548
498,2/14/2022 20:15,,,,,102.595
499,2/14/2022 20:30,,,,,102.645
500,2/14/2022 20:45,,,,,102.686
501,2/14/2022 21:00,,,,,102.707
502,2/14/2022 21:15,,,,,102.764
503,2/14/2022 21:30,,,,,102.81
504,2/14/2022 21:45,,,,,102.855
505,2/14/2022 22:00,,,,,102.919
506,2/14/2022 22:15,,,,,102.931
507,2/14/2022 22:30,,,,,102.915
508,2/14/2022 22:45,,,,,102.957
509,2/14/2022 23:00,,,,,102.953
510,2/14/2022 23:15,,,,,102.973
511,2/14/2022 23:30,,,,,102.986
512,2/14/2022 23:45,,,,,102.98
513,2/15/2022 0:00,,,,,102.993
514,2/15/2022 0:15,,,,,103.008
515,2/15/2022 0:30,,,,,103.013
516,2/15/2022 0:45,,,,,103.025
517,2/15/2022 1:00,,,,,103.026
518,2/15/2022 1:15,,,,,103.037
519,2/15/2022 1:30,,,,,103.061
520,2/15/2022 1:45,,,,,103.073
521,2/15/2022 2:00,,,,,103.092
522,2/15/2022 2:15,,,,,103.07
523,2/15/2022 2:30,,,,,103.116
524,2/15/2022 2:45,,,,,103.129
525,2/15/2022 3:00,,,,,103.13
526,2/15/2022 3:15,,,,,103.109
527,2/15/2022 3:30,,,,,103.164
528,2/15/2022 3:45,,,,,103.176
529,2/15/2022 4:00,,,,,103.22
530,2/15/2022 4:15,,,,,103.231
531,2/15/2022 4:30,,,,,103.23
532,2/15/2022 4:45,,,,,103.253
533,2/15/2022 5:00,,,,,103.286
534,2/15/2022 5:15,,,,,103.307
535,2/15/2022 5:30,,,,,103.351
536,2/15/2022 5:45,,,,,103.351
537,2/15/2022 6:00,,,,,103.351
538,2/15/2022 6:15,,,,,103.406
539,2/15/2022 6:30,,,,,103.416
540,2/15/2022 6:45,,,,,103.472
541,2/15/2022 7:00,,,,,103.505
542,2/15/2022 7:15,,,,,103.504
543,2/15/2022 7:30,,,,,103.526
544,2/15/2022 7:45,,,,,103.536
545,2/15/2022 8:00,,,,,103.562
546,2/15/2022 8:15,,,,,103.505
547,2/15/2022 8:30,,,,,103.486
548,2/15/2022 8:45,,,,,103.67
549,2/15/2022 9:00,,,,,103.719
550,2/15/2022 9:15,,,,,103.785
551,2/15/2022 9:30,,,,,103.826
552,2/15/2022 9:45,,,,,103.865
553,2/15/2022 10:00,,,,,103.891
554,2/15/2022 10:15,,,,,103.958
555,2/15/2022 10:30,,,,,103.946
556,2/15/2022 10:45,,,,,103.958
557,2/15/2022 11:00,,,,,104.036
558,2/15/2022 11:15,,,,,104.037
559,2/15/2022 11:30,,,,,104.026
560,2/15/2022 11:45,,,,,103.984
561,2/15/2022 12:00,,,,,103.972
562,2/15/2022 12:15,,,,,103.952
563,2/15/2022 12:30,,,,,103.938
564,2/15/2022 12:45,,,,,103.871
565,2/15/2022 13:00,,,,,103.813
566,2/15/2022 13:15,,,,,103.834
567,2/15/2022 13:30,,,,,103.824
568,2/15/2022 13:45,,,,,103.805
569,2/15/2022 14:00,,,,,103.746
570,2/15/2022 14:15,,,,,103.779
571,2/15/2022 14:30,,,,,103.772
572,2/15/2022 14:45,,,,,103.735
573,2/15/2022 15:00,,,,,103.713
574,2/15/2022 15:15,,,,,103.735
575,2/15/2022 15:30,,,,,103.601
576,2/15/2022 15:45,,,,,103.522
577,2/15/2022 16:00,,,,,103.466
578,2/15/2022 16:15,,,,,103.459
579,2/15/2022 16:30,,,,,103.463
580,2/15/2022 16:45,,,,,103.509
581,2/15/2022 17:00,,,,,103.512
582,2/15/2022 17:15,,,,,103.508
583,2/15/2022 17:30,,,,,103.493
584,2/15/2022 17:45,,,,,103.521
585,2/15/2022 18:00,,,,,103.526
586,2/15/2022 18:15,,,,,103.53
587,2/15/2022 18:30,,,,,103.508
588,2/15/2022 18:45,,,,,103.548
589,2/15/2022 19:00,,,,,103.536
590,2/15/2022 19:15,,,,,103.589
591,2/15/2022 19:30,,,,,103.618
592,2/15/2022 19:45,,,,,103.654
593,2/15/2022 20:00,,,,,103.657
594,2/15/2022 20:15,,,,,103.663
595,2/15/2022 20:30,,,,,103.684
596,2/15/2022 20:45,,,,,103.693
597,2/15/2022 21:00,,,,,103.716
598,2/15/2022 21:15,,,,,103.719
599,2/15/2022 21:30,,,,,103.694
600,2/15/2022 21:45,,,,,103.738
601,2/15/2022 22:00,,,,,103.731
